log_id,log_type,event_no,event_name,mall_id,trace_id,requested_time,request_endpoint,event_shop_no,member_id,success,response_http_code,response_body
3ZGpp4YBp0JdrY88NXcB,G,90146,휴면해제,instinctus1,0a118b87-4a7f-457a-832b-6d94e1c78911,23-03-03 22:28:49,https://cheremimaka.com/,1,1717251631@k,T,,
2juGp4YB_9fFJ2LudrUp,G,90146,휴면해제,instinctus1,3b279b19-3563-4bce-9efc-24014a932cb6,23-03-03 21:50:52,https://cheremimaka.com/,1,ron21,T,,
w4dmp4YBp0JdrY88tvsH,G,90146,휴면해제,instinctus1,a28791d0-7ab0-4478-a7c6-25b4a41d061e,23-03-03 21:16:11,https://cheremimaka.com/,1,2055952396@k,T,,
fb_8poYByqcTYyeEgqVx,G,90146,휴면해제,instinctus1,918ceacf-2676-4d28-9380-b8daf92b667f,23-03-03 19:20:11,https://cheremimaka.com/,1,sgh625,T,,
qh6wpoYB_9fFJ2LuTH6v,G,90146,휴면해제,instinctus1,a4bcf6dc-6e04-4aae-ac08-afa1857d8da8,23-03-03 17:56:56,https://cheremimaka.com/,1,2099366264@k,T,,
y6h9poYByqcTYyeEOP6i,G,90146,휴면해제,instinctus1,b6edf7c8-c726-4ffb-bd74-dc4ffbdc4c8e,23-03-03 17:01:09,https://cheremimaka.com/,1,rlagustn528,T,,
_AY_poYB_9fFJ2LuvgYA,G,90146,휴면해제,instinctus1,76dc9e74-8fc2-43b2-8656-e94c22926ab4,23-03-03 15:54:00,https://cheremimaka.com/,1,1636138116@k,T,,
ey2dpYYBp0JdrY88AmXy,G,90146,휴면해제,instinctus1,0ec3ea73-b29b-4298-b629-5b586dd4e74b,23-03-03 12:56:15,https://cheremimaka.com/,1,midfight,T,,
snWBpYYByqcTYyeEuCon,G,90146,휴면해제,instinctus1,1fba0b8a-c479-4b88-8998-1347d6d7c55b,23-03-03 12:26:26,https://cheremimaka.com/,1,hjs1317,T,,
IVA7pYYBonVb0d_pG9RX,G,90146,휴면해제,instinctus1,551246b3-930e-4772-ac14-a89ddf6b73d8,23-03-03 11:09:19,https://cheremimaka.com/,1,1845066439@k,T,,
PlwXpYYByqcTYyeEAmGJ,G,90146,휴면해제,instinctus1,45001418-b450-430d-ab26-4d130d73464b,23-03-03 10:29:53,https://cheremimaka.com/,1,49772851@n,T,,
RAsOpYYBp0JdrY88AxLG,G,90146,휴면해제,instinctus1,c4b0e811-55f4-4273-896a-e28081b6a0a4,23-03-03 10:20:04,https://cheremimaka.com/,1,fuge107,T,,
ZBP7ooYBonVb0d_plYkk,G,90146,휴면해제,instinctus1,8804aa05-d53d-4e73-b51e-fa868ad05f8e,23-03-03 00:40:41,https://cheremimaka.com/,1,60828969@n,T,,
dwSWooYBonVb0d_pGavx,G,90146,휴면해제,instinctus1,e689eb40-0b4f-4473-a688-6e0e6870c78b,23-03-02 22:49:51,https://cheremimaka.com/,1,64215926@n,T,,
vv1sooYBonVb0d_pS-Lt,G,90146,휴면해제,instinctus1,d25b4e6d-30ed-4845-9526-164cef7440d3,23-03-02 22:04:11,https://cheremimaka.com/,1,rlaehdtjq101,T,,
-P1oooYBonVb0d_p-FZE,G,90146,휴면해제,instinctus1,4fdf9092-9626-41e1-af1f-edbee5c71ba4,23-03-02 22:00:33,https://cheremimaka.com/,1,zzcc20,T,,
rnxnooYB_9fFJ2LugIp8,G,90146,휴면해제,instinctus1,9ec56d26-ebf6-498c-97cf-512651d7ffd5,23-03-02 21:58:57,https://cheremimaka.com/,1,charaeng,T,,
Kg5RooYByqcTYyeErmDH,G,90146,휴면해제,instinctus1,6924284a-61d2-4e9e-aaf5-0146852855c0,23-03-02 21:35:07,https://cheremimaka.com/,1,khn6525,T,,
9PY_ooYBonVb0d_pjNQv,G,90146,휴면해제,instinctus1,6a8160ca-dae8-4295-aaee-eb4556603d37,23-03-02 21:15:18,https://cheremimaka.com/,1,dls6768,T,,
6agSooYBp0JdrY8814MR,G,90146,휴면해제,instinctus1,74f595a4-206a-4ffb-997b-b59764b80a4b,23-03-02 20:26:28,https://cheremimaka.com/,1,1609482604@k,T,,
GleSoYYBdKH2J-nnJKXD,G,90146,휴면해제,instinctus1,cdd1596a-f697-416e-bf6c-88fa01856d20,23-03-02 18:05:54,https://cheremimaka.com/,1,ghksrms0883,T,,
dE9uoYYBdKH2J-nnRKZ-,G,90146,휴면해제,instinctus1,5ffb565b-558b-4af2-8e6e-43229d6bc2d8,23-03-02 17:26:43,https://cheremimaka.com/,1,snyng87,T,,
KlFpoYYB_9fFJ2LubYeQ,G,90146,휴면해제,instinctus1,21630bf4-3f97-4f00-8296-3ba815bd843a,23-03-02 17:21:26,https://cheremimaka.com/,1,tmdgml1627,T,,
d8g9oYYBonVb0d_pxZbn,G,90146,휴면해제,instinctus1,da9cd4f6-8153-4df8-9fc9-13a4d5139712,23-03-02 16:33:45,https://cheremimaka.com/,1,51286827@n,T,,
j878oIYByqcTYyeEkxwP,G,90146,휴면해제,instinctus1,4e00f579-d2c0-43f3-bb3c-9a55e7cecd7d,23-03-02 15:22:32,https://cheremimaka.com/,1,ttakjee0705,T,,
vDPvoIYBdKH2J-nn9wdC,G,90146,휴면해제,instinctus1,70950cad-bd06-4b06-945a-b09adfdb4ec8,23-03-02 15:08:46,https://cheremimaka.com/,1,72551042@n,T,,
ZrHZoIYBonVb0d_p9hRc,G,90147,탈퇴,instinctus1,00f5b3e7-e231-4efd-bb34-9bb3312b4076,23-03-02 14:44:44,https://cheremimaka.com/,1,taeseun0620,T,,
JwY0oIYBdKH2J-nn4-yW,G,90146,휴면해제,instinctus1,95f1f844-ed6b-467c-9f25-c893f1356d53,23-03-02 11:44:25,https://cheremimaka.com/,1,hdem,T,,
leWzn4YBdKH2J-nnfAHD,G,90146,휴면해제,instinctus1,b9c8616c-3457-4753-8531-62080413da57,23-03-02 09:23:05,https://cheremimaka.com/,1,hyeongoon,T,,
8Basn4YBp0JdrY88yjxa,G,90146,휴면해제,instinctus1,1693ab32-c778-49de-8ec8-771c092e6ee0,23-03-02 09:15:46,https://cheremimaka.com/,1,joda3,T,,
veCBn4YB_9fFJ2LunSU-,G,90146,휴면해제,instinctus1,85c6f0df-c53a-4673-82c6-a4ba6e1686e2,23-03-02 08:28:36,https://cheremimaka.com/,1,jojehyeon1995,T,,
vkkznoYBonVb0d_pCS0L,G,90146,휴면해제,instinctus1,22272d6c-d7ba-4700-afdc-a21d7970e0fa,23-03-02 02:23:09,https://cheremimaka.com/,1,stxwtexa,T,,
zcQDnoYB_9fFJ2LuKaSx,G,90146,휴면해제,instinctus1,930cd32c-4655-4ebb-a276-27526c119b9d,23-03-02 01:30:52,https://cheremimaka.com/,1,2091624706@k,T,,
Y7_vnYYBdKH2J-nnPlgp,G,90146,휴면해제,instinctus1,a07abd82-8a4c-41fc-a50b-56010940d016,23-03-02 01:09:07,https://cheremimaka.com/,1,moonjabong16,T,,
-L_unYYBdKH2J-nnjEBQ,G,90146,휴면해제,instinctus1,b5521129-33e1-453d-9b4b-612427430d19,23-03-02 01:08:21,https://cheremimaka.com/,1,genius9915,T,,
0FXenYYByqcTYyeEj78N,G,90146,휴면해제,instinctus1,692f2f63-6980-4b19-b0c8-a922b1e61397,23-03-02 00:50:53,https://cheremimaka.com/,1,12138685@n,T,,
Fz7NnYYBonVb0d_pk6Iq,G,90146,휴면해제,instinctus1,aaf9f091-f84c-419e-92d9-e810bab2c28b,23-03-02 00:32:20,https://cheremimaka.com/,1,jieun6203,T,,
KLWmnYYBdKH2J-nnGSgO,G,90146,휴면해제,instinctus1,f920d446-33ee-4735-a55e-cc4f2242e00f,23-03-01 23:49:13,https://cheremimaka.com/,1,audwls1073,T,,
-7eenYYB_9fFJ2Ludg9p,G,90146,휴면해제,instinctus1,ce9d4e9f-698f-4ff5-bb56-7fd955880940,23-03-01 23:40:53,https://cheremimaka.com/,1,hyhy1016,T,,
6apjnYYBdKH2J-nnMUKR,G,90146,휴면해제,instinctus1,8a815443-1720-4559-9b44-63d6f966075c,23-03-01 22:36:08,https://cheremimaka.com/,1,2043442682@k,T,,
MS1hnYYBonVb0d_p22Nu,G,90146,휴면해제,instinctus1,315952df-40ee-4fb5-a11e-e09a0c899464,23-03-01 22:34:41,https://cheremimaka.com/,1,1557605848@k,T,,
gqxfnYYB_9fFJ2Lu8Ibb,G,90146,휴면해제,instinctus1,1b459cff-b408-4e48-b414-6d1afce582a5,23-03-01 22:32:35,https://cheremimaka.com/,1,moleboss,T,,
ac5PnYYBp0JdrY88t-jG,G,90146,휴면해제,instinctus1,a0cb95d9-1609-40e0-b0a3-11c9a152e110,23-03-01 22:14:52,https://cheremimaka.com/,1,vgb4773,T,,
tqQznYYB_9fFJ2LuCjLn,G,90147,탈퇴,instinctus1,79cc7bb0-47df-458f-9916-bc95815d1027,23-03-01 21:43:33,https://cheremimaka.com/,1,gcm2819,T,,
giIknYYBonVb0d_pPBRr,G,90146,휴면해제,instinctus1,0bc5b1c9-36eb-4d84-a4e6-fd1f1938af19,23-03-01 21:27:22,https://cheremimaka.com/,1,wojua,T,,
d8MTnYYBp0JdrY88ES8W,G,90146,휴면해제,instinctus1,17d6a7f0-d137-4842-9d13-46acba39ff3f,23-03-01 21:08:37,https://cheremimaka.com/,1,jidgo,T,,
OhnunIYBonVb0d_pIDsU,G,90146,휴면해제,instinctus1,c53a2b6f-f36f-4a92-a253-573f2a184700,23-03-01 20:28:16,https://cheremimaka.com/,1,taylor0103,T,,
wSKfnIYByqcTYyeE2Rpf,G,90146,휴면해제,instinctus1,6ce4a0b6-e923-4fae-8a86-579531076797,23-03-01 19:02:46,https://cheremimaka.com/,1,tomi,T,,
NB-RnIYByqcTYyeETs5h,G,90146,휴면해제,instinctus1,04477820-55d5-4309-80ef-62d04f12977f,23-03-01 18:46:53,https://cheremimaka.com/,1,1853132091@k,T,,
FYFVnIYB_9fFJ2LuXbhl,G,90146,휴면해제,instinctus1,cb06fc56-9faa-4e2e-b077-4940618f82b7,23-03-01 17:41:25,https://cheremimaka.com/,1,poooh,T,,
2vLom4YBonVb0d_p0jSd,G,90146,휴면해제,instinctus1,0ef23d43-79e2-4076-973d-c6616d0b995b,23-03-01 15:42:51,https://cheremimaka.com/,1,2056349268@k,T,,
C_-2m4YByqcTYyeEkrgs,G,90146,휴면해제,instinctus1,2ba0c92a-ad5e-4f94-a795-0ec4f8f49e7c,23-03-01 14:47:58,https://cheremimaka.com/,1,kangvelyh,T,,
w-aam4YBonVb0d_pKq2D,G,90146,휴면해제,instinctus1,7906283e-e636-438e-aba2-8fe25f109cb8,23-03-01 14:16:56,https://cheremimaka.com/,1,miracle5542,T,,
h4SYm4YBp0JdrY88Nx8j,G,90146,휴면해제,instinctus1,28a3fa77-9ed1-4126-8a8f-137452374837,23-03-01 14:14:49,https://cheremimaka.com/,1,ush4321,T,,
YV1Zm4YB_9fFJ2Luf0QP,G,90146,휴면해제,instinctus1,adff752e-0132-4abb-8aa3-3a8544c55718,23-03-01 13:06:18,https://cheremimaka.com/,1,xodn9354,T,,
PdtOm4YBonVb0d_pKMQl,G,90146,휴면해제,instinctus1,2dfb585b-2f0d-4888-bc11-880bdb21039c,23-03-01 12:53:55,https://cheremimaka.com/,1,rlaxodn9354,T,,
o9cum4YBonVb0d_puSu-,G,90146,휴면해제,instinctus1,d956a324-9334-4054-8b31-cd9729ac3809,23-03-01 12:19:35,https://cheremimaka.com/,1,njh9432,T,,
gsjNmoYBonVb0d_poOFX,G,90146,휴면해제,instinctus1,53b324a8-e9b7-4b5b-ba35-6d3470e31b16,23-03-01 10:33:32,https://cheremimaka.com/,1,tkddn2624,T,,
bxzXmIYB_9fFJ2Luiw9Y,G,90146,휴면해제,instinctus1,cae73b98-699e-409b-a6ea-9c600f155bf0,23-03-01 01:25:07,https://cheremimaka.com/,1,tndus1479,T,,
TCammIYBp0JdrY88BPOa,G,90146,휴면해제,instinctus1,2d1d688d-495f-4987-b3f3-1741ba32893c,23-03-01 00:31:01,https://cheremimaka.com/,1,dltndnddico,T,,
iRCYmIYBdKH2J-nnxm1k,G,90146,휴면해제,instinctus1,2ce160eb-972a-43b3-999e-24b0e66e7fc7,23-03-01 00:16:34,https://cheremimaka.com/,1,fbdktjd7,T,,
dJ9bmIYByqcTYyeEX17g,G,90146,휴면해제,instinctus1,96b55667-a3b4-43af-86cd-770113e05de8,23-02-28 23:09:30,https://cheremimaka.com/,1,id2357,T,,
egZWmIYBdKH2J-nnYSvy,G,90146,휴면해제,instinctus1,61dc9097-cd5f-4b5f-9496-49b43ce253db,23-02-28 23:04:03,https://cheremimaka.com/,1,22980380@n,T,,
awnzl4YBp0JdrY88KRP2,G,90146,휴면해제,instinctus1,04084fe4-aae4-476e-acf0-a09d0aa13d2a,23-02-28 21:15:40,https://cheremimaka.com/,1,1924328137@k,T,,
RO2Yl4YB_9fFJ2LuQRdq,G,90146,휴면해제,instinctus1,d73c29f0-cac1-4f27-9759-821eb5a2fea2,23-02-28 19:36:22,https://cheremimaka.com/,1,je0998,T,,
1C5dloYBonVb0d_px3eV,G,90146,휴면해제,instinctus1,060f6dd9-34ba-405e-9b2e-132cd3fae3f2,23-02-28 13:52:53,https://cheremimaka.com/,1,ejdk456,T,,
Y0FSloYByqcTYyeE-VbJ,G,90146,휴면해제,instinctus1,c67a2d98-4d48-4490-b582-731149762d2c,23-02-28 13:41:05,https://cheremimaka.com/,1,2028576705@k,T,,
cQiolYYBonVb0d_phHxG,G,90146,휴면해제,instinctus1,573bae43-cebe-4820-a4e9-8212cbf9b616,23-02-28 10:34:54,https://cheremimaka.com/,1,kool3474,T,,
yoOElYYBp0JdrY8864gP,G,90146,휴면해제,instinctus1,16cea168-b066-4b93-b2c3-5798ecf99c35,23-02-28 09:56:01,https://cheremimaka.com/,1,jongsukim12,T,,
uu8clYYBonVb0d_pRuCR,G,90146,휴면해제,instinctus1,dcffd57e-391b-45ce-aa6f-2def4a7c5f29,23-02-28 08:01:43,https://cheremimaka.com/,1,limssu,T,,
nF0tlIYBp0JdrY88ttMQ,G,90146,휴면해제,instinctus1,70a0adea-5e19-4e90-b2f7-5e9a03917d8c,23-02-28 03:41:08,https://cheremimaka.com/,1,hbh4126,T,,
WNGDk4YBonVb0d_pOUTB,G,90147,탈퇴,instinctus1,f460c4ec-8f10-4c72-8e41-c70b350b3a20,23-02-28 00:34:56,https://cheremimaka.com/,1,erin0421,T,,
